Word, Sadness, Joy, Love, Anger, Fear, Surprise
sure,931,2366,317,438,528,150
could,2518,3084,1017,1308,979,362
ever,1224,1456,419,453,449,131
little,4587,3576,1218,2242,2806,835
bit,3357,2064,720,1587,1926,569
depressed,1550,97,14,200,112,20
good,1745,3631,536,723,560,195
time,4942,5808,1335,2307,1980,641
left,1680,1158,230,667,546,235
elegant,3,517,5,3,1,2
delighted,6,633,4,5,6,9
starting,594,573,148,303,402,64
pressure,142,263,62,71,103,38
think,3620,4045,1107,1836,1604,489
sweet,129,1362,1243,112,38,15
baby,407,540,218,158,154,45
jesus,110,126,61,42,34,20
anesthesiologist,0,1,1,0,1,0
gets,252,242,62,184,75,27
late,304,193,57,151,110,22
coming,425,643,139,277,247,83
may,821,1187,327,391,416,107
never,1975,1997,654,824,710,233
recover,32,28,5,9,6,1
ok,150,1297,40,75,96,20
getting,1199,1368,314,863,536,122
antsy,11,16,2,52,22,0
horta,0,1,0,0,0,0
ireland,8,10,3,5,2,1
sour,8,18,9,11,5,1
looking,583,956,200,290,267,114
man,379,518,181,285,178,44
beating,46,41,22,34,22,2
thin,32,45,12,22,22,5
dog,120,128,62,54,64,14
remuera,0,0,0,1,0,0
always,2192,2601,718,908,872,328
like,17737,20252,6006,8245,4996,1903
im,14151,16391,3831,7452,6148,1564
boring,1131,66,10,25,25,4
dont,3208,2657,735,1775,1237,316
get,4303,5166,1152,2656,1769,543
bored,199,80,14,94,58,13
sitting,383,357,89,186,160,51
table,69,132,23,42,43,29
listen,281,294,93,135,66,31
monotony,4,2,0,5,1,0
guy,279,383,163,180,128,42
named,19,21,5,17,3,3
brian,8,19,7,11,4,2
feels,1816,2301,744,866,810,546
need,1947,2899,837,1080,848,254
stick,73,136,29,47,35,5
nose,80,42,12,37,15,8
conversation,162,254,39,124,72,19
doesnt,482,459,147,250,165,39
concern,32,39,18,21,10,6
make,2652,4307,808,1122,1083,244
kind,1439,1124,399,648,534,282
dig,30,35,4,11,13,8
sarcastic,8,6,5,451,3,0
cant,2198,1481,517,1294,769,207
really,6035,6831,1813,2999,2226,812
heard,216,242,44,90,111,48
laugh,142,200,40,75,43,44
pretend,63,64,18,28,21,5
didnt,1816,1729,475,957,725,241
say,1956,2430,565,1001,790,293
anything,1492,1444,350,707,604,177
blogs,92,175,19,48,39,12
makes,1381,1876,367,581,508,152
worthwhile,19,1154,7,5,5,3
passing,70,79,27,28,18,13
quite,1325,1948,366,619,609,229
yet,940,1067,241,380,432,117
wouldn,133,137,37,89,56,22
clue,30,24,6,15,18,2
appreciate,97,215,67,61,42,14
posts,193,205,51,76,66,22
blessed,102,1362,1086,35,27,32
able,938,1766,326,409,349,113
move,347,476,119,141,204,52
around,1657,1980,537,805,840,271
see,1876,2519,672,1057,782,429
world,1165,1475,341,571,432,173
nervous,104,205,26,70,1346,21
trigger,21,13,2,10,16,2
binge,33,20,7,11,7,4
although,296,462,106,139,158,42
honestly,318,306,85,159,107,50
doubtful,9,6,2,6,583,1
triumphant,5,704,1,0,1,0
hes,292,372,160,204,108,34
literally,139,100,26,54,50,19
shit,314,181,45,179,64,18
end,1195,1054,233,494,381,103
sat,246,151,30,95,108,45
watching,336,403,118,177,143,64
stopped,146,121,37,66,61,14
using,194,433,97,102,98,38
words,530,603,218,275,223,89
bounced,2,4,1,0,2,1
walls,58,53,13,20,47,3
therapy,61,51,9,17,15,4
day,2716,3460,696,1088,783,290
uncertain,28,11,4,7,1052,5
mighty,6,15,6,7,3,0
aphrodite,0,0,0,0,1,0
unsure,80,40,14,17,1206,9
proceed,7,17,4,6,10,1
questions,133,237,29,84,96,34
geared,3,4,0,0,1,0
library,36,74,14,23,18,7
reading,464,605,147,242,205,87
olli,0,0,0,1,0,0
jalonens,0,0,0,1,0,0
book,434,825,221,283,213,112
imagine,243,279,106,104,109,25
woman,317,487,147,173,137,39
loves,93,112,63,38,28,6
start,1001,1071,254,527,544,107
relax,59,126,18,48,37,9
become,473,676,152,276,220,57
confident,62,1549,17,23,104,12
final,81,136,20,43,31,13
act,145,184,58,160,83,24
compassion,66,65,43,21,11,3
selflessness,2,1,5,0,0,1
sit,454,411,98,191,171,63
agonized,22,0,0,1,1,0
performing,10,21,1,7,13,3
worst,107,62,15,52,46,9
mistake,84,63,14,26,30,3
unimportant,1026,1,1,7,3,0
unloved,855,3,2,12,8,0
still,3826,3625,1021,1551,1919,669
violent,18,20,10,989,10,5
ideas,100,307,47,48,64,19
torturing,12,1,1,8,6,1
far,502,830,174,197,184,82
tame,5,3,0,3,0,1
yesterday,384,346,68,140,86,39
even,3757,3659,988,1736,1276,449
supposed,231,242,75,139,133,27
talent,23,72,14,6,13,7
grace,51,80,20,17,17,16
deprived,1056,26,2,24,4,2
instead,489,561,135,320,168,49
sorry,1518,145,61,223,54,19
admit,482,340,95,239,309,74
problem,222,244,48,120,91,18
brain,217,190,28,70,72,25
clouded,4,0,1,0,0,0
mood,248,331,90,210,59,19
hot,153,194,1249,106,59,14
breath,78,138,98,65,72,13
close,326,389,130,169,191,53
neck,63,86,76,30,29,10
every,1459,1804,422,661,536,202
id,953,1034,234,471,344,102
restless,55,21,7,66,975,2
yup,3,7,3,1,3,1
admitting,75,15,3,23,17,5
jealous,65,36,9,1213,38,5
receive,39,133,32,34,22,12
emptiness,59,18,18,13,10,8
amazed,19,39,14,9,18,1175
quickly,172,204,53,99,97,58
life,3398,4136,969,1193,1081,390
changes,84,170,25,40,64,27
barely,115,89,35,40,38,16
speak,197,253,53,112,143,31
though,1733,1959,505,750,623,219
fine,190,1123,40,81,84,21
homesick,1148,7,5,9,11,3
parents,368,333,139,197,122,27
friends,1337,1421,496,649,387,106
praise,23,40,14,13,13,5
children,389,602,199,200,137,52
ironical,0,1,0,0,0,1
impressed,19,35,10,13,13,1133
suppose,204,196,59,96,92,25
way,2716,3597,965,1512,1046,402
right,2260,2286,524,1206,895,222
however,236,337,72,110,80,32
deep,246,272,107,104,99,31
heart,1028,832,453,283,313,96
uncomfortably,6,3,6,3,5,2
angered,5,1,0,247,4,1
dumb,1095,37,11,30,11,7
stuff,490,584,112,261,207,77
cry,439,130,50,152,119,29
vain,1080,23,2,7,6,2
imprisoned,7,1,0,0,1,0
stay,402,421,115,169,152,30
anymore,496,409,125,270,191,56
drained,1115,21,2,19,15,5
social,177,200,31,96,78,29
situations,147,120,22,71,85,14
okay,218,226,60,90,93,19
didn,830,767,206,409,328,121
lucky,98,1275,63,38,26,14
mom,386,367,125,150,115,36
alive,84,280,53,35,26,10
talk,727,627,186,418,357,60
daily,165,229,52,69,46,28
year,938,1550,352,383,368,182
living,411,509,127,153,150,49
philippines,3,4,3,3,5,3
grow,122,228,77,60,54,20
prideful,4,2,0,2,2,0
less,1298,1544,307,791,826,134
valued,6,1169,26,3,2,0
tired,1038,433,91,415,223,66
sleeping,195,153,31,74,55,19
noon,10,14,5,4,5,2
exhausted,1285,87,26,75,54,25
ive,4086,3499,911,1559,1292,464
mixture,18,22,12,9,12,11
ecstatic,14,894,3,2,8,4
joy,189,491,107,66,45,34
excitement,61,146,45,21,47,23
sadness,273,124,93,64,35,30
stress,241,201,42,92,76,24
whole,757,713,157,360,350,88
shebang,2,3,0,0,0,0
guess,845,750,229,398,313,93
talked,100,146,35,57,56,17
phone,208,233,30,110,113,26
started,1180,1016,276,583,741,229
crying,341,80,28,89,87,14
trying,1149,985,290,592,463,115
heaviness,7,4,2,3,7,1
everything,1274,1272,269,670,563,168
fucked,39,16,7,1051,9,5
seems,425,337,94,233,154,41
notice,123,142,28,88,60,23
used,761,724,212,300,280,96
punished,1052,4,6,11,5,0
something,2810,3890,929,1436,1221,398
pain,1124,537,262,290,211,73
family,947,1339,511,371,281,91
support,198,400,153,76,97,27
negative,185,152,32,118,51,12
thoughts,418,457,126,242,206,72
overtake,1,4,3,2,5,1
aggravated,7,3,2,398,2,1
might,826,1099,273,471,549,136
perfect,158,1409,60,68,64,25
take,1179,1638,340,686,526,123
tutorial,4,12,1,1,6,2
disheartened,948,7,0,4,3,1
bring,227,361,72,88,85,33
potential,82,117,21,16,40,10
law,71,73,20,28,22,12
suit,25,55,9,11,16,3
attention,247,220,67,132,98,26
already,1000,988,264,426,394,117
average,32,69,4,15,12,4
liberal,5,24,10,9,3,0
parent,111,82,20,36,39,7
shame,104,76,41,44,19,10
takes,147,206,31,78,52,20
responsibility,72,137,32,29,31,12
angry,572,159,43,1818,210,30
indeed,56,130,22,31,23,18
pointing,15,17,3,10,11,0
best,565,859,227,272,191,51
therefore,84,158,26,32,42,10
moment,837,1058,258,404,324,107
arise,10,13,7,6,8,0
selfish,110,52,20,1230,12,5
awkward,1191,89,11,22,83,23
tubelight,1,0,0,0,0,0
reflecting,16,16,8,4,5,1
glossy,3,5,3,2,2,0
paper,118,138,32,59,53,7
picture,159,249,51,69,53,35
red,99,198,62,67,48,15
laced,5,4,1,2,2,1
bra,15,20,16,4,4,1
want,3705,4337,1284,2027,1479,301
much,3138,4310,1170,1397,1078,401
forgive,120,94,29,86,42,6
shaken,11,7,2,5,975,3
bad,2106,555,141,450,291,62
child,439,454,183,197,160,52
torn,50,25,11,22,24,0
squeezed,6,6,2,2,6,1
bloodless,0,0,0,0,1,0
pulp,15,2,0,3,1,0
grinch,3,5,1,2,1,1
sized,14,29,1,6,7,2
picked,94,100,16,34,21,10
looked,210,233,67,87,95,62
upper,29,10,8,11,7,2
back,2428,2773,724,984,983,337
thats,581,677,166,308,256,84
emotional,1397,141,63,89,85,23
root,15,14,7,7,3,1
cause,466,346,102,206,183,26
giggly,0,299,0,2,1,2
tags,8,11,3,3,5,2
obstruction,0,1,0,0,1,0
lungs,30,33,3,18,14,0
ve,865,873,219,369,304,97
resolved,14,978,0,9,6,2
behave,12,17,11,18,9,3
force,96,104,29,49,45,12
routine,67,112,8,26,24,10
run,426,618,116,203,228,68
lose,225,239,59,82,114,24
weight,398,415,70,120,118,49
pace,57,110,9,38,49,10
devastated,1033,11,3,7,6,5
put,817,1060,275,467,323,103
head,622,522,144,294,252,115
weep,11,7,3,5,3,0
occur,16,27,3,9,6,5
alone,1965,357,102,259,455,42
age,157,235,77,96,78,44
experience,432,841,158,144,200,65
house,597,609,102,290,266,77
behind,297,270,90,130,142,35
use,437,897,195,262,213,79
straight,107,114,42,64,59,19
non,103,135,27,61,46,20
greasy,15,9,7,4,1,3
absorbs,0,2,0,0,0,0
immediately,127,139,39,63,62,15
super,157,1327,52,66,70,24
soft,38,143,114,24,13,12
remember,1055,923,266,552,617,364
tear,56,35,17,18,13,5
slide,11,35,10,17,10,1
side,337,399,131,178,143,38
face,566,755,290,295,271,93
knowing,410,488,78,143,216,56
belonged,11,17,5,5,4,1
gift,79,260,61,30,25,15
punishment,23,20,4,16,4,0
came,499,635,130,244,216,102
away,1316,1199,352,582,529,161
optimistic,40,1104,8,4,18,4
treatment,66,104,19,38,18,11
img,166,223,44,65,32,20
src,186,271,51,69,39,25
http,1276,1899,399,413,292,156
www,414,673,153,120,106,56
probably,675,659,175,336,227,72
pay,162,192,50,95,68,21
pacing,3,12,4,6,2,0
hard,834,787,211,352,266,69
youre,287,421,151,194,115,36
suffering,1016,48,23,40,29,11
wronged,13,3,1,1081,2,0
katie,13,14,4,7,5,1
pursued,6,6,4,2,8,2
upon,158,240,78,97,62,52
acting,83,81,13,53,29,11
heartless,11,4,0,538,2,1
afraid,267,159,55,84,1435,19
go,2434,2806,587,1227,1169,255
anyone,642,634,209,396,274,63
either,377,448,127,219,137,39
burden,99,52,16,33,17,3
piss,15,6,0,13,1,2
sobstory,0,0,0,1,0,0
petty,16,17,2,899,4,2
saying,612,525,125,369,208,89
hit,207,201,58,85,103,41
africa,14,17,4,16,5,0
happy,919,3159,246,411,250,132
empowered,24,56,6,6,10,3
beautiful,218,615,142,75,68,39
girl,513,706,263,270,212,72
surrounded,95,94,24,20,21,6
handsome,12,333,7,2,6,2
insecure,109,48,6,37,1205,5
times,1176,835,239,515,452,146
hair,325,417,138,122,104,53
frantic,7,6,0,7,700,1
dark,169,173,44,69,132,18
steps,65,97,12,19,40,10
front,268,253,57,132,168,43
scans,2,1,0,2,2,1
fingers,64,109,68,36,34,11
outside,210,344,91,128,126,30
mildly,50,50,6,45,26,10
determined,29,1155,12,30,18,7
write,731,1075,206,340,364,118
gorgeous,28,1136,14,15,8,5
bugs,11,15,4,2,1,0
buzzing,6,10,4,3,3,2
lot,1427,1773,420,578,539,155
valuable,20,1176,6,9,10,3
irritating,14,8,3,13,2,3
relieved,58,1112,7,23,33,12
verse,19,19,2,5,6,1
delusions,3,3,0,1,2,1
shining,14,30,5,10,8,0
stars,27,83,20,15,14,8
gave,196,323,93,92,76,22
early,229,288,50,129,78,34
wars,12,14,7,6,3,0
bunch,96,115,17,33,31,8
ruthless,1,5,0,3,2,0
trust,230,311,87,74,151,15
sun,87,197,92,53,26,17
woods,10,20,4,7,9,1
amazing,179,1523,107,54,66,1077
morning,880,931,201,369,241,105
havent,495,508,141,197,150,71
comfortable,84,1582,59,36,89,21
wear,177,629,111,83,101,27
couple,399,433,119,147,134,61
years,992,1071,304,340,334,137
fainting,3,0,0,1,1,1
embarrassed,1244,27,11,43,55,12
whenever,351,323,96,214,167,47
public,150,161,42,72,100,19
achieved,23,108,13,14,8,8
pretty,2210,3671,293,672,520,229
low,1264,160,19,75,75,20
knows,142,169,57,77,75,18
strangers,34,45,12,19,51,8
tell,944,943,289,482,428,126
carrying,53,63,20,18,25,4
high,286,400,99,129,143,45
pushing,65,74,16,23,34,9
bladder,12,6,0,0,0,0
making,933,1136,260,462,400,77
big,439,577,141,198,216,70
movements,17,35,18,8,15,6
break,299,288,85,142,123,37
particularly,361,694,227,303,135,46
sympathetic,15,5,1153,9,9,4
confess,67,57,15,38,46,8
give,791,1118,372,438,305,78
substitutes,0,3,0,1,0,0
case,209,261,54,105,103,34
fabulous,17,936,15,8,11,4
asian,10,25,2,7,8,1
ingredients,14,35,7,3,5,3
readily,6,11,6,2,4,0
available,54,81,12,19,20,11
wonderful,168,1456,123,62,58,41
stockings,0,8,5,0,0,0
curious,30,46,14,14,17,1065
goods,118,8,2,9,2,2
belong,64,103,38,15,20,9
member,44,155,33,26,22,10
group,202,359,91,111,113,34
designers,4,29,4,3,5,4
talented,24,960,11,11,8,3
funny,95,164,40,57,48,1040
interesting,110,206,30,43,29,19
everyone,793,946,253,405,280,108
reason,650,493,126,435,299,56
sees,31,34,9,18,10,10
leah,2,4,0,1,1,1
forget,205,228,68,93,57,17
win,82,161,29,42,21,9
running,361,443,100,148,132,54
half,350,343,71,175,135,43
speed,39,57,15,23,18,13
last,1484,1438,363,569,497,186
weeks,558,580,93,186,202,71
since,1025,1105,326,423,425,165
broke,993,37,26,41,38,5
thumb,9,8,5,2,5,0
ride,101,176,21,49,55,22
bike,83,133,24,32,40,10
washed,21,21,6,11,4,5
multitude,6,4,1,4,4,1
glassware,0,1,0,1,0,0
felt,1492,1422,367,714,655,205
resentful,46,7,4,1167,11,0
needed,310,425,92,146,122,33
wash,45,63,28,28,16,9
dishes,23,45,12,23,12,7
first,970,1441,300,418,583,206
place,809,1140,293,329,389,148
difference,101,187,42,37,41,22
lives,246,370,92,119,77,37
working,442,819,145,234,185,66
fortune,12,37,1,12,3,4
cookie,11,43,6,5,6,2
knew,474,472,152,216,197,64
race,148,256,23,49,74,19
slower,16,31,6,9,7,3
previous,86,95,29,37,47,13
races,24,36,9,8,10,1
likely,109,109,28,50,58,11
ran,67,100,23,28,44,15
hours,484,503,96,200,144,73
figured,83,101,19,32,27,7
zero,32,29,7,15,9,3
motivation,85,79,9,33,14,6
fast,142,151,32,86,74,30
wanted,781,1000,308,408,291,75
finish,157,286,36,70,59,24
awful,1179,62,21,42,36,8
caring,77,97,1181,32,13,12
rejected,1153,27,9,24,15,3
hurt,1689,272,114,438,202,28
miserable,1169,39,11,61,29,0
car,239,234,36,122,190,33
travelling,25,33,6,10,20,5
snail,4,3,1,1,4,1
rather,1168,1190,277,592,429,115
light,179,361,85,69,96,35
inactivity,2,2,0,1,0,0
vile,2,4,2,215,1,0
evil,53,40,16,26,11,6
calm,68,1260,29,74,95,19
remain,50,98,29,28,30,6
peace,150,454,99,76,88,32
catch,89,125,28,60,54,20
glimpses,4,8,3,2,1,1
window,66,100,36,49,46,17
soaring,4,7,2,0,0,3
air,103,296,76,88,65,18
perfectly,74,216,18,42,25,13
simply,306,377,98,164,129,50
fantastic,35,974,19,9,6,8
old,636,629,241,319,214,87
muttered,7,2,2,1,1,1
troubled,1035,12,3,7,10,2
couldnt,534,347,98,284,176,64
insignificant,56,10,2,13,9,4
seen,180,329,92,72,101,46
also,1759,2562,651,951,840,257
ashamed,1082,38,12,54,43,4
p,73,122,50,43,20,9
anyway,211,226,68,103,90,19
marry,17,30,10,8,16,4
chuck,6,15,3,7,3,2
appreciative,6,758,9,6,3,1
beauty,93,221,47,32,36,28
upset,309,90,31,255,106,29
won,190,251,40,99,80,26
apologize,71,34,12,74,18,6
airing,6,3,0,0,1,0
feelings,2075,2110,949,964,599,200
messy,936,22,8,11,11,4
un,64,122,22,17,19,7
glamorous,3,583,2,3,1,0
seem,486,406,92,244,188,56
find,1304,1581,397,681,550,228
leave,656,708,128,324,307,52
beloved,27,876,818,9,7,1
walkway,0,1,1,1,0,0
sunny,18,39,11,13,4,2
lounge,6,11,4,4,2,2
choice,131,196,41,65,49,4
mad,144,62,10,1148,47,9
unhappy,1190,32,10,74,37,3
aft,3,2,1,1,0,0
disgusted,49,17,4,1157,12,8
enlightened,9,13,1,7,3,1
rude,33,13,9,1146,14,2
ask,382,383,93,247,264,49
question,181,202,47,99,94,32
mention,122,147,38,60,45,28
married,91,112,42,56,40,16
month,287,370,72,113,100,43
help,1759,1683,462,1020,785,254
romantic,47,69,1043,16,16,10
excited,219,1819,83,76,267,94
apprehensive,10,11,0,4,1111,4
week,1044,1335,227,375,314,143
gotten,182,228,48,99,65,31
point,775,721,195,373,290,74
irritated,44,22,8,1184,33,7
frustrated,355,78,27,1380,132,22
lovey,7,7,12,3,0,0
dull,1158,27,2,9,7,2
ache,178,33,34,18,20,8
inside,712,588,196,253,272,82
thigh,9,7,10,4,5,3
quad,1,3,0,0,1,2
knee,45,48,17,13,19,8
vulnerable,97,43,16,22,1143,7
going,2686,3213,695,1296,1353,379
rethink,2,4,1,0,3,0
beyonce,1,2,1,0,2,1
hesitant,6,15,5,5,1087,2
response,100,107,22,64,33,18
liked,156,221,1191,55,56,31
composition,8,21,3,2,1,1
setting,44,92,18,22,16,5
stillness,5,9,5,1,3,1
vertical,10,7,3,3,6,0
lines,53,80,11,19,31,11
black,132,234,55,70,56,23
white,133,216,48,56,71,18
gloomy,1071,10,0,7,3,1
overcast,5,3,0,0,0,0
blue,91,140,38,30,31,14
highlights,5,10,3,4,2,1
sneaked,1,2,2,0,0,1
assure,20,24,6,4,13,1
beaten,1055,15,6,16,10,4
overwhelmed,239,114,30,117,1195,1136
lost,1771,389,102,201,246,56
confused,268,61,26,110,919,154
possibly,145,177,33,50,84,19
quit,90,46,13,39,30,4
follow,114,171,40,62,58,19
plans,106,126,12,44,43,12
turn,396,370,105,180,180,45
purpose,128,175,44,37,41,7
alot,80,80,23,43,23,5
strongly,118,340,132,72,36,20
clever,10,1080,3,9,4,1
wish,535,501,171,262,177,43
paste,4,7,4,5,4,1
biological,7,11,3,1,2,0
mother,464,360,144,196,132,33
roof,18,23,10,7,6,2
supporting,25,1131,1038,12,4,1
expect,167,171,53,74,65,31
certain,293,313,77,190,174,32
fiance,14,8,5,2,3,0
decide,74,123,32,64,49,13
energetic,17,1178,5,6,4,4
decided,386,552,135,218,149,45
important,250,1606,93,123,89,33
collectively,1,5,0,0,3,0
selfishly,14,6,1,5,1,3
presenting,8,19,3,4,6,3
emission,0,1,0,0,0,0
egocentrism,0,1,0,0,0,0
fond,17,24,638,6,3,1
sansa,0,0,1,1,1,0
helping,145,243,63,59,51,14
tyrion,0,1,0,0,2,0
pick,159,195,51,81,71,23
joffreys,0,0,0,0,2,0
cup,52,107,40,36,20,5
build,42,122,20,27,25,2
relationship,429,410,183,188,163,16
perhaps,227,285,75,100,106,21
paranoid,31,23,1,20,1092,2
handing,8,7,1,2,4,4
implicate,0,0,0,0,1,0
murder,14,17,4,11,7,1
woke,740,383,75,230,203,88
kinda,479,269,104,249,158,90
timid,5,4,3,4,341,0
gf,10,10,3,14,2,1
successful,52,1264,17,24,25,8
post,756,965,204,342,262,94
data,38,68,17,6,27,11
via,31,71,12,13,21,9
twitter,104,97,20,47,33,14
username,1,2,0,0,1,0
script,22,39,14,9,6,4
type,220,313,86,130,87,35
text,102,102,27,45,35,6
javascript,14,21,8,7,2,0
platform,16,33,5,5,14,3
smart,52,1122,10,28,16,7
enough,1030,2206,382,519,364,94
knowledge,75,224,28,45,49,24
fandoms,2,2,0,2,2,1
considered,44,95,11,34,18,11
geek,2,23,3,1,2,2
hope,765,1277,297,249,268,64
strengthens,0,3,2,0,2,0
peoples,77,94,31,89,38,12
immune,10,8,1,4,2,1
systems,11,20,7,5,5,3
innevitable,0,0,0,0,1,0
onslaught,5,1,1,2,1,2
hn,0,0,0,1,2,0
somehow,352,367,75,181,119,48
shops,14,30,9,7,12,5
unmotivated,72,4,0,13,5,1
tasks,41,54,5,22,26,10
rotten,983,5,4,16,1,0
system,123,149,27,71,58,18
actually,1094,1635,356,575,504,226
distracted,31,20,6,1107,19,4
piles,12,8,0,7,5,1
shoujo,0,0,0,1,0,0
manga,4,11,6,3,1,1
invest,17,22,7,8,3,0
strangely,60,114,26,34,39,15
certainly,188,296,66,64,52,23
document,23,36,6,13,15,3
worthless,1190,13,2,22,23,1
money,350,473,97,262,132,33
braces,6,3,1,1,1,0
cares,78,58,25,34,21,8
realized,292,285,78,125,137,32
basic,30,65,3,17,16,5
student,95,175,24,51,44,16
lousy,1006,12,3,9,2,0
anxious,159,136,11,157,1418,28
presentation,12,41,5,14,16,3
today,1777,2372,536,1003,489,220
gone,387,319,95,148,124,50
forward,187,433,73,69,130,37
step,154,278,56,76,133,27
hopefully,72,176,32,28,44,8
expanse,3,2,1,1,1,0
oblivion,6,4,2,4,0,1
savouring,1,6,1,1,0,0
blank,1054,62,7,17,16,8
awhile,54,74,12,24,37,8
albeit,21,44,6,5,8,2
short,220,257,63,129,89,34
duration,9,7,0,2,7,0
struggling,179,85,23,67,41,10
whether,241,356,83,156,243,30
term,95,131,26,39,33,15
abused,1069,15,3,7,7,1
dodging,1,1,0,0,0,0
plain,79,52,6,47,19,7
silly,130,107,25,69,40,13
isolated,1146,16,2,11,19,2
pulling,47,71,24,22,14,10
hated,1230,46,23,1149,36,5
couldn,207,158,41,141,99,42
longest,21,16,5,3,5,3
blamed,455,4,3,11,2,1
eloquently,4,6,0,1,0,0
focus,180,238,62,121,81,22
energy,438,600,118,122,101,52
productive,42,1217,3,18,18,4
jump,55,103,23,38,48,11
another,760,956,288,417,323,100
shocked,41,23,6,11,19,1071
stunned,8,6,3,2,3,498
giddy,5,40,14,1,10,6
ov,0,0,0,0,0,1
shedding,7,1,1,1,2,0
tears,264,104,67,84,71,21
graduation,21,27,6,9,7,3
says,217,287,92,136,92,23
miss,410,476,175,138,103,43
jimmy,13,14,5,3,0,0
fighting,88,68,16,44,26,6
freedom,60,189,38,33,39,19
overseas,13,9,3,4,5,3
missed,1267,121,35,40,31,13
drugs,58,49,9,28,21,7
escape,60,46,13,34,27,5
frank,15,7,6,4,6,1
boyfriend,162,126,71,95,65,8
wants,205,247,88,111,70,17
cooperate,5,2,0,5,1,0
allowed,177,185,48,76,53,21
quick,82,90,22,52,26,13
judge,44,57,13,39,33,3
kids,521,633,146,278,178,60
wont,608,444,112,257,169,49
stop,744,456,207,382,263,69
let,863,910,317,461,345,78
mission,32,72,14,13,13,13
abort,1,0,0,1,1,0
generous,13,943,910,8,3,3
splurge,5,11,2,2,1,1
nicer,7,18,4,7,3,0
drink,146,155,37,80,54,16
margaritas,2,4,1,0,0,0
mojitos,0,2,2,0,0,0
sentimental,926,9,11,5,2,0
share,383,1075,268,142,214,94
acceptance,30,59,16,9,13,2
song,212,373,106,92,57,44
photo,83,168,28,31,30,21
ascension,1,7,0,0,0,0
higher,34,86,16,24,34,7
level,164,258,53,69,83,33
conscience,18,15,1,16,2,0
aesthetic,1,10,3,0,2,0
rapture,0,2,2,0,3,1
sort,532,483,153,240,197,105
finally,379,994,160,151,129,58
bitch,142,40,21,198,18,3
travel,61,117,29,27,38,11
ryanair,0,0,0,1,0,0
easyjet,0,1,0,1,0,0
service,85,164,42,51,24,17
outraged,8,4,1,405,1,1
paid,58,87,21,43,21,4
flight,36,39,7,9,24,4
moral,14,27,6,14,5,1
ground,81,86,20,50,91,9
inhibited,308,3,1,0,311,0
course,227,422,71,124,116,36
sincere,10,1086,8,4,3,1
nice,327,488,128,183,120,32
sociable,1,491,2,1,0,0
compassionate,6,27,520,4,3,2
helpful,40,74,19,18,17,4
corbett,0,1,2,0,0,0
nclb,1,0,0,0,0,0
technically,10,19,1,6,12,4
